id,name,governorate_id/id
city_0001,مصر القديمة,gov_01
city_0002,الخليفة,gov_01
city_0003,الدرب الأحمر,gov_01
city_0004,الجمالية,gov_01
city_0005,الموسكي,gov_01
city_0006,الأزبكية,gov_01
city_0007,عابدين,gov_01
city_0008,بولاق,gov_01
city_0009,الوايلي,gov_01
city_0010,شبرا,gov_01
city_0011,روض الفرج,gov_01
city_0012,الساحل,gov_01
city_0013,الزيتون,gov_01
city_0014,حدائق القبة,gov_01
city_0015,الزاوية الحمراء,gov_01
city_0016,السيدة زينب,gov_01
city_0017,المقطم,gov_01
city_0018,مصر الجديدة,gov_01
city_0019,النزهة,gov_01
city_0020,المعادي,gov_01
city_0021,دار السلام,gov_01
city_0022,البساتين,gov_01
city_0023,المرج,gov_01
city_0024,المطرية,gov_01
city_0025,عين شمس,gov_01
city_0026,حلوان,gov_01
city_0027,التبين,gov_01
city_0028,15 مايو,gov_01
city_0029,مدينة نصر أول,gov_01
city_0030,مدينة نصر ثان,gov_01
city_0031,القاهرة الجديدة,gov_01
city_0032,بدر,gov_01
city_0033,الشروق,gov_01
city_0034,الرحاب,gov_01
city_0035,الدقي,gov_02
city_0036,العجوزة,gov_02
city_0037,الهرم,gov_02
city_0038,بولاق الدكرور,gov_02
city_0039,إمبابة,gov_02
city_0040,الوراق,gov_02
city_0041,كرداسة,gov_02
city_0042,أوسيم,gov_02
city_0043,منشأة القناطر,gov_02
city_0044,الحوامدية,gov_02
city_0045,البدرشين,gov_02
city_0046,الصف,gov_02
city_0047,أطفيح,gov_02
city_0048,العياط,gov_02
city_0049,6 أكتوبر,gov_02
city_0050,الشيخ زايد,gov_02
city_0051,الواحات البحرية,gov_02
city_0052,بنها,gov_03
city_0053,قليوب,gov_03
city_0054,شبين القناطر,gov_03
city_0055,طوخ,gov_03
city_0056,قها,gov_03
city_0057,الخانكة,gov_03
city_0058,الخصوص,gov_03
city_0059,شبرا الخيمة,gov_03
city_0060,القناطر الخيرية,gov_03
city_0061,كفر شكر,gov_03
city_0062,منتزه أول,gov_04
city_0063,منتزه ثان,gov_04
city_0064,شرق,gov_04
city_0065,وسط,gov_04
city_0066,غرب,gov_04
city_0067,الجمرك,gov_04
city_0068,محرم بك,gov_04
city_0069,العطارين,gov_04
city_0070,اللبان,gov_04
city_0071,كرموز,gov_04
city_0072,العامرية أول,gov_04
city_0073,العامرية ثان,gov_04
city_0074,العجمي,gov_04
city_0075,برج العرب,gov_04
city_0076,سيدي جابر,gov_04
city_0077,باكوس,gov_04
city_0078,سموحة,gov_04
city_0079,المنشية,gov_04
city_0080,الدخيلة,gov_04
city_0081,دمنهور,gov_05
city_0082,كفر الدوار,gov_05
city_0083,رشيد,gov_05
city_0084,إدكو,gov_05
city_0085,أبو المطامير,gov_05
city_0086,أبو حمص,gov_05
city_0087,الدلنجات,gov_05
city_0088,المحمودية,gov_05
city_0089,الرحمانية,gov_05
city_0090,إيتاي البارود,gov_05
city_0091,شبراخيت,gov_05
city_0092,كوم حمادة,gov_05
city_0093,بدر,gov_05
city_0094,النوبارية,gov_05
city_0095,وادي النطرون,gov_05
city_0096,حوش عيسى,gov_05
city_0097,كفر الشيخ,gov_06
city_0098,دسوق,gov_06
city_0099,فوه,gov_06
city_0100,مطوبس,gov_06
city_0101,سيدي سالم,gov_06
city_0102,بيلا,gov_06
city_0103,الرياض,gov_06
city_0104,قلين,gov_06
city_0105,بلطيم,gov_06
city_0106,الحامول,gov_06
city_0107,سيدي غازي,gov_06
city_0108,برج البرلس,gov_06
city_0109,المنصورة,gov_07
city_0110,طلخا,gov_07
city_0111,ميت غمر,gov_07
city_0112,دكرنس,gov_07
city_0113,أجا,gov_07
city_0114,منية النصر,gov_07
city_0115,السنبلاوين,gov_07
city_0116,نبروه,gov_07
city_0117,شربين,gov_07
city_0118,المطرية,gov_07
city_0119,بلقاس,gov_07
city_0120,تمي الأمديد,gov_07
city_0121,الجمالية,gov_07
city_0122,المنزلة,gov_07
city_0123,بني عبيد,gov_07
city_0124,ميت سلسيل,gov_07
city_0125,محلة دمنة,gov_07
city_0126,الزقازيق,gov_08
city_0127,بلبيس,gov_08
city_0128,منيا القمح,gov_08
city_0129,أبو حماد,gov_08
city_0130,أبو كبير,gov_08
city_0131,الحسينية,gov_08
city_0132,ديرب نجم,gov_08
city_0133,الصالحية الجديدة,gov_08
city_0134,فاقوس,gov_08
city_0135,كفر صقر,gov_08
city_0136,القرين,gov_08
city_0137,القنايات,gov_08
city_0138,مشتول السوق,gov_08
city_0139,أولاد صقر,gov_08
city_0140,الإبراهيمية,gov_08
city_0141,صان الحجر القبلية,gov_08
city_0142,ههيا,gov_08
city_0143,طنطا,gov_09
city_0144,المحلة الكبرى,gov_09
city_0145,كفر الزيات,gov_09
city_0146,زفتى,gov_09
city_0147,السنطة,gov_09
city_0148,سمنود,gov_09
city_0149,بسيون,gov_09
city_0150,قطور,gov_09
city_0151,شبين الكوم,gov_10
city_0152,منوف,gov_10
city_0153,سرس الليان,gov_10
city_0154,أشمون,gov_10
city_0155,الباجور,gov_10
city_0156,قويسنا,gov_10
city_0157,بركة السبع,gov_10
city_0158,تلا,gov_10
city_0159,الشهداء,gov_10
city_0160,دمياط,gov_11
city_0161,فارسكور,gov_11
city_0162,كفر سعد,gov_11
city_0163,الزرقا,gov_11
city_0164,كفر البطيخ,gov_11
city_0165,الروضة,gov_11
city_0166,السرو,gov_11
city_0167,دمياط الجديدة,gov_11
city_0168,رأس البر,gov_11
city_0169,الشرق,gov_12
city_0170,العرب,gov_12
city_0171,المناخ,gov_12
city_0172,بورفؤاد,gov_12
city_0173,الضواحي,gov_12
city_0174,الجنوب,gov_12
city_0175,الزهور,gov_12
city_0176,الإسماعيلية,gov_13
city_0177,فايد,gov_13
city_0178,القنطرة شرق,gov_13
city_0179,القنطرة غرب,gov_13
city_0180,التل الكبير,gov_13
city_0181,القصاصين,gov_13
city_0182,أبو صوير,gov_13
city_0183,السويس,gov_14
city_0184,الأربعين,gov_14
city_0185,عتاقة,gov_14
city_0186,الجناين,gov_14
city_0187,فيصل,gov_14
city_0188,العريش,gov_15
city_0189,الشيخ زويد,gov_15
city_0190,رفح,gov_15
city_0191,بئر العبد,gov_15
city_0192,الحسنة,gov_15
city_0193,نخل,gov_15
city_0194,الطور,gov_16
city_0195,شرم الشيخ,gov_16
city_0196,دهب,gov_16
city_0197,نويبع,gov_16
city_0198,طابا,gov_16
city_0199,سانت كاترين,gov_16
city_0200,أبو رديس,gov_16
city_0201,رأس سدر,gov_16
city_0202,بني سويف,gov_17
city_0203,الواسطى,gov_17
city_0204,ناصر,gov_17
city_0205,إهناسيا,gov_17
city_0206,ببا,gov_17
city_0207,سمسطا,gov_17
city_0208,الفشن,gov_17
city_0209,الفيوم,gov_18
city_0210,سنورس,gov_18
city_0211,إطسا,gov_18
city_0212,إبشواي,gov_18
city_0213,طامية,gov_18
city_0214,يوسف الصديق,gov_18
city_0215,الفيوم الجديدة,gov_18
city_0216,المنيا,gov_19
city_0217,العدوة,gov_19
city_0218,مغاغة,gov_19
city_0219,بني مزار,gov_19
city_0220,مطاي,gov_19
city_0221,سمالوط,gov_19
city_0222,أبو قرقاص,gov_19
city_0223,ملوي,gov_19
city_0224,دير مواس,gov_19
city_0225,المنيا الجديدة,gov_19
city_0226,أسيوط,gov_20
city_0227,ديروط,gov_20
city_0228,منفلوط,gov_20
city_0229,القوصية,gov_20
city_0230,أبنوب,gov_20
city_0231,الفتح,gov_20
city_0232,ساحل سليم,gov_20
city_0233,البداري,gov_20
city_0234,صدفا,gov_20
city_0235,أبو تيج,gov_20
city_0236,الغنايم,gov_20
city_0237,الخارجة,gov_21
city_0238,الداخلة,gov_21
city_0239,الفرافرة,gov_21
city_0240,باريس,gov_21
city_0241,بلاط,gov_21
city_0242,سوهاج,gov_22
city_0243,أخميم,gov_22
city_0244,جرجا,gov_22
city_0245,طهطا,gov_22
city_0246,طما,gov_22
city_0247,البلينا,gov_22
city_0248,دار السلام,gov_22
city_0249,جهينة,gov_22
city_0250,ساقلته,gov_22
city_0251,المراغة,gov_22
city_0252,المنشأة,gov_22
city_0253,العسيرات,gov_22
city_0254,قنا,gov_23
city_0255,نجع حمادي,gov_23
city_0256,دشنا,gov_23
city_0257,قوص,gov_23
city_0258,نقادة,gov_23
city_0259,أبو تشت,gov_23
city_0260,فرشوط,gov_23
city_0261,الوقف,gov_23
city_0262,قفط,gov_23
city_0263,قنا الجديدة,gov_23
city_0264,الأقصر,gov_24
city_0265,الزينية,gov_24
city_0266,البياضية,gov_24
city_0267,القرنة,gov_24
city_0268,إسنا,gov_24
city_0269,الطود,gov_24
city_0270,أرمنت,gov_24
city_0271,أسوان,gov_25
city_0272,دراو,gov_25
city_0273,كوم أمبو,gov_25
city_0274,نصر النوبة,gov_25
city_0275,إدفو,gov_25
city_0276,الرديسية,gov_25
city_0277,البصيلية,gov_25
city_0278,أسوان الجديدة,gov_25
city_0279,أبو سمبل السياحية,gov_25
city_0280,الغردقة,gov_26
city_0281,رأس غارب,gov_26
city_0282,سفاجا,gov_26
city_0283,القصير,gov_26
city_0284,مرسى علم,gov_26
city_0285,الشلاتين,gov_26
city_0286,حلايب,gov_26
city_0287,مرسى مطروح,gov_27
city_0288,الحمام,gov_27
city_0289,العلمين,gov_27
city_0290,النجيلة,gov_27
city_0291,الضبعة,gov_27
city_0292,سيدي براني,gov_27
city_0293,السلوم,gov_27
city_0294,سيوة,gov_27
