id,name,capital,region,sequence
gov_01,القاهرة,القاهرة,القاهرة الكبرى,10
gov_02,الجيزة,الجيزة,القاهرة الكبرى,20
gov_03,القليوبية,بنها,القاهرة الكبرى,30
gov_04,الإسكندرية,الإسكندرية,الإسكندرية,40
gov_05,البحيرة,دمنهور,الدلتا,50
gov_06,كفر الشيخ,كفر الشيخ,الدلتا,60
gov_07,الدقهلية,المنصورة,الدلتا,70
gov_08,الشرقية,الزقازيق,قناة السويس وسيناء,80
gov_09,الغربية,طنطا,الدلتا,90
gov_10,المنوفية,شبين الكوم,الدلتا,100
gov_11,دمياط,دمياط,الدلتا,110
gov_12,بورسعيد,بورسعيد,قناة السويس وسيناء,120
gov_13,الإسماعيلية,الإسماعيلية,قناة السويس وسيناء,130
gov_14,السويس,السويس,قناة السويس وسيناء,140
gov_15,شمال سيناء,العريش,قناة السويس وسيناء,150
gov_16,جنوب سيناء,الطور,قناة السويس وسيناء,160
gov_17,بني سويف,بني سويف,شمال الصعيد,170
gov_18,الفيوم,الفيوم,شمال الصعيد,180
gov_19,المنيا,المنيا,شمال الصعيد,190
gov_20,أسيوط,أسيوط,وسط الصعيد,200
gov_21,الوادي الجديد,الخارجة,وسط الصعيد,210
gov_22,سوهاج,سوهاج,جنوب الصعيد,220
gov_23,قنا,قنا,جنوب الصعيد,230
gov_24,الأقصر,الأقصر,جنوب الصعيد,240
gov_25,أسوان,أسوان,جنوب الصعيد,250
gov_26,البحر الأحمر,الغردقة,قناة السويس وسيناء,260
gov_27,مطروح,مرسى مطروح,مطروح,270
